id,domain,symptom,topology_notes,show_outputs,expected_issue,severity
CASE-001,VLAN & Trunking,Switches cannot forward traffic between VLAN 10 hosts. CDPs log native VLAN mismatch error.,"Switch-A (Gi0/1) connects to Switch-B (Gi0/1). Switch-A has native VLAN 10, Switch-B has native VLAN 1.","Switch-A# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      10

Switch-B# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      1

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch detected on GigabitEthernet0/1 (10), with Switch-B GigabitEthernet0/1 (1).",Native VLAN Mismatch,High
CASE-002,VLAN & Trunking,Switch port Gi0/2 connected to router refuses to establish trunk link. Interface status is trunk-negotiation failed.,Switch-C connects to Router-C via interface Gi0/2.,"Switch-C# show running-config interface GigabitEthernet0/2
interface GigabitEthernet0/2
 switchport mode trunk
! Command rejected: GigabitEthernet0/2 has trunk encapsulation set to Auto. Cannot set mode to Trunk without specifying encapsulation first.",Missing Trunk Encapsulation configuration,High
CASE-003,VLAN & Trunking,User PC connected to Switch port Fa0/5 cannot access the local Gateway or Server.,User is supposed to be in VLAN 20 (Marketing). Gateway is 192.168.20.1.,"Switch-A# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/5
10   Engineering                      active    Fa0/3, Fa0/4
20   Marketing                        active    Fa0/6, Fa0/7

Switch-A# show interfaces FastEthernet0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Access VLAN: 1 (default)
Operational Access VLAN: 1 (default)",Access port mapped to wrong VLAN,Medium
CASE-004,VLAN & Trunking,Finance department computers connected to VLAN 30 cannot reach resources or obtain IP. Config shows switchports mapped to VLAN 30.,Switch-D has ports Fa0/10 to Fa0/15 assigned to switchport access vlan 30.,"Switch-D# show running-config | section interface
interface FastEthernet0/10
 switchport access vlan 30
 switchport mode access

Switch-D# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3
10   Engineering                      active    Fa0/4, Fa0/5
20   Marketing                        active    Fa0/6, Fa0/7
! VLAN 30 is missing from the database!",VLAN 30 not created in Switch Database,Critical
CASE-005,VLAN & Trunking,Trunk port fails to forward traffic. Ports bounce and drop interface status repeatedly.,Switch-X (Fa0/24) connects to Switch-Y (Fa0/24). Dynamic trunking protocol (DTP) is mismatched.,"Switch-X# show interfaces FastEthernet0/24 switchport
Administrative Mode: dynamic desirable
Operational Mode: access

Switch-Y# show interfaces FastEthernet0/24 switchport
Administrative Mode: dynamic auto
Negotiation of Trunking: Off
! Switch-Y has trunk negotiation disabled, preventing trunk forming.",Trunking negotiation mode mismatch,Medium
CASE-006,Addressing & Gateway,Host-A (192.168.1.50) cannot ping Host-B (192.168.1.130) even though they are plugged into the same switch.,Both hosts share a flat network interface but use different subnet masks.,"Host-A> ipconfig /all
IPv4 Address. . . . . . . . . . . : 192.168.1.50
Subnet Mask . . . . . . . . . . . : 255.255.255.0

Host-B> ipconfig /all
IPv4 Address. . . . . . . . . . . : 192.168.1.130
Subnet Mask . . . . . . . . . . . : 255.255.255.128
! Host-B sees Host-A as being in a different subnet and forwards packets to gateway instead of local ARP.",Subnet mask mismatch on local hosts,High
CASE-007,Addressing & Gateway,Router-A logs console errors. OSPF neighbors drop state constantly. Hosts report intermittent network drops.,Router-A (Gig0/0) and Router-B (Loopback 0) share the same IP address.,"Router-A# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.0.0.1        YES manual up                    up

%IP-4-DUPADDR: Duplicate address 10.0.0.1 on GigabitEthernet0/0, sourced by mac 0060.2f88.1a01",Duplicate IP address configured on OSPF loopback/interface,Critical
CASE-008,Addressing & Gateway,PC-1 can ping local printers but cannot access external internet pages or the corporate server in another subnet.,PC-1 is in subnet 10.1.1.0/24. Local router interface is 10.1.1.254.,"PC-1> ipconfig
IPv4 Address. . . . . . . . . . . : 10.1.1.15
Subnet Mask . . . . . . . . . . . : 255.255.255.0
Default Gateway . . . . . . . . . : 10.1.1.1

Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     10.1.1.254      YES manual up                    up",Incorrect Default Gateway IP configured on host,High
CASE-009,Addressing & Gateway,New office computers cannot get DHCP addresses. Interface link status is up. Older hosts operate fine.,"A small /29 subnet is configured for a branch office DHCP pool, which has run out of addresses.","BranchRouter# show ip dhcp pool
Pool BRANCH_POOL :
 Scope address range          : 192.168.1.1    - 192.168.1.6
 Excluded addresses           : 192.168.1.1
 Leased addresses             : 5
 Pending addresses            : 0
 Current index                : 192.168.1.7
! Subnet is /29 (usable 192.168.1.2-192.168.1.6). All leases are exhausted.",IP pool range exhaustion on a /29 subnet,High
CASE-010,Addressing & Gateway,Entire branch subnet loses connection to core network. Gateway interface Gig0/0 reports administratively down.,Router-Branch-01 gateway interface Gig0/0 is configured with shutdown.,"Router-Branch-01# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.5.1     YES manual administratively down down",Gateway interface is administratively shut down,Critical
